interval_start_timestamp,messages,messages_per_communicator
2026-04-29T00:00:00+00:00,49,7
2026-04-30T00:00:00+00:00,70,14
2026-05-01T00:00:00+00:00,43,14.333333333333334
2026-05-02T00:00:00+00:00,55,9.166666666666666
2026-05-03T00:00:00+00:00,49,16.333333333333332
2026-05-04T00:00:00+00:00,27,9
2026-05-05T00:00:00+00:00,52,8.666666666666666
2026-05-06T00:00:00+00:00,52,8.666666666666666
2026-05-07T00:00:00+00:00,42,8.4
2026-05-08T00:00:00+00:00,21,10.5
2026-05-09T00:00:00+00:00,32,6.4
2026-05-10T00:00:00+00:00,11,11
2026-05-11T00:00:00+00:00,11,11
2026-05-12T00:00:00+00:00,108,21.6
2026-05-13T00:00:00+00:00,94,11.75
2026-05-14T00:00:00+00:00,127,21.166666666666668
2026-05-15T00:00:00+00:00,89,17.8
2026-05-16T00:00:00+00:00,101,12.625
2026-05-17T00:00:00+00:00,59,14.75
2026-05-18T00:00:00+00:00,239,26.555555555555557
2026-05-19T00:00:00+00:00,213,21.3
2026-05-20T00:00:00+00:00,143,11.916666666666666
2026-05-21T00:00:00+00:00,128,18.285714285714285
2026-05-22T00:00:00+00:00,73,12.166666666666666
2026-05-23T00:00:00+00:00,97,13.857142857142858
2026-05-24T00:00:00+00:00,92,18.4
2026-05-25T00:00:00+00:00,148,18.5
2026-05-26T00:00:00+00:00,66,11
2026-05-27T00:00:00+00:00,39,13
2026-05-28T00:00:00+00:00,93,13.285714285714286
2026-05-29T00:00:00+00:00,54,10.8
2026-05-30T00:00:00+00:00,96,24
2026-05-31T00:00:00+00:00,40,13.333333333333334
2026-06-01T00:00:00+00:00,25,6.25
2026-06-02T00:00:00+00:00,70,14
2026-06-03T00:00:00+00:00,77,11
2026-06-04T00:00:00+00:00,94,18.8
2026-06-05T00:00:00+00:00,69,13.8
2026-06-06T00:00:00+00:00,72,12
2026-06-07T00:00:00+00:00,76,19
2026-06-08T00:00:00+00:00,48,9.6
2026-06-09T00:00:00+00:00,88,17.6
2026-06-10T00:00:00+00:00,102,14.571428571428571
2026-06-11T00:00:00+00:00,163,23.285714285714285
2026-06-12T00:00:00+00:00,97,24.25
2026-06-13T00:00:00+00:00,115,19.166666666666668
2026-06-14T00:00:00+00:00,65,16.25
2026-06-15T00:00:00+00:00,113,16.142857142857142
2026-06-16T00:00:00+00:00,138,23
2026-06-17T00:00:00+00:00,46,7.666666666666667
2026-06-18T00:00:00+00:00,66,13.2
2026-06-19T00:00:00+00:00,76,15.2
2026-06-20T00:00:00+00:00,52,17.333333333333332
2026-06-21T00:00:00+00:00,36,9
2026-06-22T00:00:00+00:00,47,9.4
2026-06-23T00:00:00+00:00,26,13
2026-06-24T00:00:00+00:00,24,8
2026-06-25T00:00:00+00:00,28,7
2026-06-26T00:00:00+00:00,31,7.75
2026-06-27T00:00:00+00:00,27,13.5
2026-06-28T00:00:00+00:00,54,10.8
2026-06-29T00:00:00+00:00,31,7.75
