day_pt,days_in_guild,muters,interval_start_timestamp
2026-06-30T00:00:00+00:00,Existing Members,0,2026-06-30T00:00:00+00:00
2026-06-30T00:00:00+00:00,New Members,0,2026-06-30T00:00:00+00:00
2026-07-01T00:00:00+00:00,Existing Members,0,2026-07-01T00:00:00+00:00
2026-07-01T00:00:00+00:00,New Members,0,2026-07-01T00:00:00+00:00
2026-07-02T00:00:00+00:00,Existing Members,0,2026-07-02T00:00:00+00:00
2026-07-02T00:00:00+00:00,New Members,0,2026-07-02T00:00:00+00:00
2026-07-03T00:00:00+00:00,Existing Members,0,2026-07-03T00:00:00+00:00
2026-07-03T00:00:00+00:00,New Members,0,2026-07-03T00:00:00+00:00
2026-07-04T00:00:00+00:00,Existing Members,0,2026-07-04T00:00:00+00:00
2026-07-04T00:00:00+00:00,New Members,0,2026-07-04T00:00:00+00:00
2026-07-05T00:00:00+00:00,Existing Members,0,2026-07-05T00:00:00+00:00
2026-07-05T00:00:00+00:00,New Members,0,2026-07-05T00:00:00+00:00
