day_pt,days_in_guild,muters,interval_start_timestamp
2026-07-13T00:00:00+00:00,Existing Members,0,2026-07-13T00:00:00+00:00
2026-07-13T00:00:00+00:00,New Members,0,2026-07-13T00:00:00+00:00
2026-07-14T00:00:00+00:00,Existing Members,0,2026-07-14T00:00:00+00:00
2026-07-14T00:00:00+00:00,New Members,0,2026-07-14T00:00:00+00:00
2026-07-15T00:00:00+00:00,Existing Members,0,2026-07-15T00:00:00+00:00
2026-07-15T00:00:00+00:00,New Members,0,2026-07-15T00:00:00+00:00
2026-07-16T00:00:00+00:00,Existing Members,0,2026-07-16T00:00:00+00:00
2026-07-16T00:00:00+00:00,New Members,0,2026-07-16T00:00:00+00:00
2026-07-17T00:00:00+00:00,Existing Members,0,2026-07-17T00:00:00+00:00
2026-07-17T00:00:00+00:00,New Members,0,2026-07-17T00:00:00+00:00
2026-07-18T00:00:00+00:00,Existing Members,0,2026-07-18T00:00:00+00:00
2026-07-18T00:00:00+00:00,New Members,0,2026-07-18T00:00:00+00:00
2026-07-19T00:00:00+00:00,Existing Members,0,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,New Members,0,2026-07-19T00:00:00+00:00
