day_pt,total_membership,interval_start_timestamp
2026-04-29T00:00:00+00:00,497,2026-04-29T00:00:00+00:00
2026-04-30T00:00:00+00:00,519,2026-04-30T00:00:00+00:00
2026-05-01T00:00:00+00:00,530,2026-05-01T00:00:00+00:00
2026-05-02T00:00:00+00:00,530,2026-05-02T00:00:00+00:00
2026-05-03T00:00:00+00:00,535,2026-05-03T00:00:00+00:00
2026-05-04T00:00:00+00:00,540,2026-05-04T00:00:00+00:00
2026-05-05T00:00:00+00:00,545,2026-05-05T00:00:00+00:00
2026-05-06T00:00:00+00:00,548,2026-05-06T00:00:00+00:00
2026-05-07T00:00:00+00:00,554,2026-05-07T00:00:00+00:00
2026-05-08T00:00:00+00:00,555,2026-05-08T00:00:00+00:00
2026-05-09T00:00:00+00:00,554,2026-05-09T00:00:00+00:00
2026-05-10T00:00:00+00:00,554,2026-05-10T00:00:00+00:00
2026-05-11T00:00:00+00:00,554,2026-05-11T00:00:00+00:00
2026-05-12T00:00:00+00:00,553,2026-05-12T00:00:00+00:00
2026-05-13T00:00:00+00:00,554,2026-05-13T00:00:00+00:00
2026-05-14T00:00:00+00:00,565,2026-05-14T00:00:00+00:00
2026-05-15T00:00:00+00:00,567,2026-05-15T00:00:00+00:00
2026-05-16T00:00:00+00:00,565,2026-05-16T00:00:00+00:00
2026-05-17T00:00:00+00:00,566,2026-05-17T00:00:00+00:00
2026-05-18T00:00:00+00:00,565,2026-05-18T00:00:00+00:00
2026-05-19T00:00:00+00:00,569,2026-05-19T00:00:00+00:00
2026-05-20T00:00:00+00:00,569,2026-05-20T00:00:00+00:00
2026-05-21T00:00:00+00:00,570,2026-05-21T00:00:00+00:00
2026-05-22T00:00:00+00:00,569,2026-05-22T00:00:00+00:00
2026-05-23T00:00:00+00:00,568,2026-05-23T00:00:00+00:00
2026-05-24T00:00:00+00:00,569,2026-05-24T00:00:00+00:00
2026-05-25T00:00:00+00:00,567,2026-05-25T00:00:00+00:00
2026-05-26T00:00:00+00:00,567,2026-05-26T00:00:00+00:00
2026-05-27T00:00:00+00:00,566,2026-05-27T00:00:00+00:00
2026-05-28T00:00:00+00:00,569,2026-05-28T00:00:00+00:00
2026-05-29T00:00:00+00:00,568,2026-05-29T00:00:00+00:00
2026-05-30T00:00:00+00:00,568,2026-05-30T00:00:00+00:00
2026-05-31T00:00:00+00:00,566,2026-05-31T00:00:00+00:00
2026-06-01T00:00:00+00:00,565,2026-06-01T00:00:00+00:00
2026-06-02T00:00:00+00:00,565,2026-06-02T00:00:00+00:00
2026-06-03T00:00:00+00:00,565,2026-06-03T00:00:00+00:00
2026-06-04T00:00:00+00:00,565,2026-06-04T00:00:00+00:00
2026-06-05T00:00:00+00:00,567,2026-06-05T00:00:00+00:00
2026-06-06T00:00:00+00:00,570,2026-06-06T00:00:00+00:00
2026-06-07T00:00:00+00:00,572,2026-06-07T00:00:00+00:00
2026-06-08T00:00:00+00:00,573,2026-06-08T00:00:00+00:00
2026-06-09T00:00:00+00:00,573,2026-06-09T00:00:00+00:00
2026-06-10T00:00:00+00:00,574,2026-06-10T00:00:00+00:00
2026-06-11T00:00:00+00:00,573,2026-06-11T00:00:00+00:00
2026-06-12T00:00:00+00:00,578,2026-06-12T00:00:00+00:00
2026-06-13T00:00:00+00:00,577,2026-06-13T00:00:00+00:00
2026-06-14T00:00:00+00:00,581,2026-06-14T00:00:00+00:00
2026-06-15T00:00:00+00:00,580,2026-06-15T00:00:00+00:00
2026-06-16T00:00:00+00:00,581,2026-06-16T00:00:00+00:00
2026-06-17T00:00:00+00:00,583,2026-06-17T00:00:00+00:00
2026-06-18T00:00:00+00:00,583,2026-06-18T00:00:00+00:00
2026-06-19T00:00:00+00:00,582,2026-06-19T00:00:00+00:00
2026-06-20T00:00:00+00:00,583,2026-06-20T00:00:00+00:00
2026-06-21T00:00:00+00:00,582,2026-06-21T00:00:00+00:00
2026-06-22T00:00:00+00:00,583,2026-06-22T00:00:00+00:00
2026-06-23T00:00:00+00:00,584,2026-06-23T00:00:00+00:00
2026-06-24T00:00:00+00:00,583,2026-06-24T00:00:00+00:00
2026-06-25T00:00:00+00:00,583,2026-06-25T00:00:00+00:00
2026-06-26T00:00:00+00:00,585,2026-06-26T00:00:00+00:00
2026-06-27T00:00:00+00:00,587,2026-06-27T00:00:00+00:00
2026-06-28T00:00:00+00:00,586,2026-06-28T00:00:00+00:00
2026-06-29T00:00:00+00:00,587,2026-06-29T00:00:00+00:00
